zone_id,zone_name,top_police_station,top_junction,top_location,predicted_next_day_violations,predicted_risk_score,predicted_risk_band,recommended_action,manpower_estimate,time_window_to_watch
ZONE_087,Mumbai Bengaluru Highway / Peenya Zone,Peenya,No Junction,"Mumbai Bengaluru Highway, Hesaragatta Cross Junction, T Dasarahalli, Bengaluru, Karnataka. Pin-560057 (India)",1.42,84.8,High,Deploy 2 Officers + Active Patrol Monitoring,2,08:00 AM - 11:00 AM (Morning Peak Focus)
ZONE_101,Soniya Gandhi Road / Jalahalli Zone,Jalahalli,No Junction,"Soniya Gandhi Road, Gangamma Circle, Ramchandrapura, Bengaluru, Karnataka. Pin-560013 (India)",1.4,84.6,High,Deploy 2 Officers + Active Patrol Monitoring,2,11:00 AM - 05:00 PM (Midday Traffic Focus)
ZONE_055,Shri Ramalingeshwara Cave Temple Road / Hulimavu Zone,Hulimavu,No Junction,"Shri Ramalingeshwara Cave Temple Road, Royal Meenakshi Mall, Hulimavu, Bengaluru, Karnataka. Pin-560076 (India)",1.39,84.4,High,Deploy 2 Officers + Active Patrol Monitoring,2,11:00 AM - 05:00 PM (Midday Traffic Focus)
ZONE_070,"BMTC Junction, KH Road / Wilson Garden Zone",Wilson Garden,"BTP102 - BMTC Junction, KH Road","BTS Main Road, BMTC Junction, Wilson Garden, Bengaluru, Karnataka. Pin-560027 (India)",1.38,84.0,High,Deploy 2 Officers + Active Patrol Monitoring,2,08:00 AM - 11:00 AM (Morning Peak Focus)
ZONE_098,19th Main Road / HSR Layout Zone,HSR Layout,No Junction,"19th Main Road, Sector 2, HSR Layout, Bengaluru, Karnataka. Pin-560102 (India)",1.38,84.0,High,Deploy 2 Officers + Active Patrol Monitoring,2,11:00 AM - 05:00 PM (Midday Traffic Focus)
ZONE_113,Konanakunte Main Road / Thalagattapura Zone,Thalagattapura,No Junction,"Konanakunte Main Road, Bayanapalya, Bengaluru, Karnataka. Pin-560109 (India)",1.38,84.0,High,Deploy 2 Officers + Active Patrol Monitoring,2,11:00 AM - 05:00 PM (Midday Traffic Focus)
ZONE_060,Mallathahalli Road / Jnanabharathi Zone,Jnanabharathi,No Junction,"Mallathahalli Road, Sri Gurukrupa Layout, Nagarbhavi Stage 2, Bengaluru, Karnataka. Pin-560072 (India)",1.37,83.7,High,Deploy 2 Officers + Active Patrol Monitoring,2,11:00 AM - 05:00 PM (Midday Traffic Focus)
ZONE_191,Lingarajapuram Flyover / Pulikeshinagar(F.Town) Zone,Pulikeshinagar(F.Town),No Junction,"Lingarajapuram Flyover, Old Bagalur Layout, Lingarajapuram, Bengaluru, Karnataka. Pin-560084 (India)",1.36,83.5,High,Deploy 2 Officers + Active Patrol Monitoring,2,08:00 PM - 08:00 AM (Night Monitoring Focus)
ZONE_155,Hoodi Main Road / Mahadevapura Zone,Mahadevapura,No Junction,"Hoodi Main Road, Thigalarapalya, Hoodi, Bengaluru, Karnataka. Pin-560048 (India)",1.35,83.3,High,Deploy 2 Officers + Active Patrol Monitoring,2,08:00 PM - 08:00 AM (Night Monitoring Focus)
ZONE_102,Dairy Circle Flyover Underpass / Dairy Circle Zone,Mico Layout,BTP126 - Dairy Circle,"Dairy Circle Flyover Underpass, Dairy Circle, Adugodi, Bengaluru, Karnataka. Pin-560029 (India)",1.31,83.1,High,Deploy 2 Officers + Active Patrol Monitoring,2,08:00 AM - 11:00 AM (Morning Peak Focus)
ZONE_239,60 Feet Road / Kodigehalli Zone,Kodigehalli,No Junction,"60 Feet Road, KEB Layout, Sanjay Nagar, Bengaluru, Karnataka. Pin-560094 (India)",1.3,82.9,High,Deploy 2 Officers + Active Patrol Monitoring,2,11:00 AM - 05:00 PM (Midday Traffic Focus)
ZONE_088,Bagaluru Main Road / Yelahanka Zone,Yelahanka,No Junction,"Bagaluru Main Road, KVSR Layout, Kattigenahalli, Bengaluru, Karnataka. Pin-560063 (India)",1.29,82.7,High,Deploy 2 Officers + Active Patrol Monitoring,2,08:00 PM - 08:00 AM (Night Monitoring Focus)
ZONE_076,Jalahalli Cross Road / Peenya Zone,Peenya,No Junction,"Jalahalli Cross Road, Jalahalli Cross Junction, Peenya, Bengaluru, Karnataka. Pin-560058 (India)",1.28,82.6,High,Deploy 2 Officers + Active Patrol Monitoring,2,08:00 PM - 08:00 AM (Night Monitoring Focus)
ZONE_285,Bagalur Road / Pulikeshinagar(F.Town) Zone,Pulikeshinagar(F.Town),No Junction,"Bagalur Road, New Bagalur Layout, Lingarajapuram, Bengaluru, Karnataka. Pin-560084 (India)",1.26,82.3,High,Deploy 2 Officers + Active Patrol Monitoring,2,08:00 AM - 08:00 PM
ZONE_119,Whitefield Main Road / Mahadevapura Zone,Mahadevapura,No Junction,"Whitefield Main Road, Sri Sathya Sai Gokulam, Sai Colony, Kadugodi, Bengaluru, Karnataka. Pin-560067 (India)",1.26,82.3,High,Deploy 2 Officers + Active Patrol Monitoring,2,11:00 AM - 05:00 PM (Midday Traffic Focus)
ZONE_130,Kodigehalli Main Road / K.R. Pura Zone,K.R. Pura,No Junction,"Kodigehalli Main Road, Aryav Greenfields, Kadugodi, KR Puram, Bengaluru, Karnataka. Pin-560067 (India)",1.23,82.0,High,Deploy 2 Officers + Active Patrol Monitoring,2,08:00 PM - 08:00 AM (Night Monitoring Focus)
ZONE_115,Dr TCM Royan Road / Briyand Circle Zone,Chamarajpet,BTP085 - Briyand Circle,"Bhashyam Road, Akkimakalamna Gudi, Cottonpete, Bengaluru, Karnataka. Pin-560053 (India)",1.19,81.7,High,Deploy 2 Officers + Active Patrol Monitoring,2,08:00 PM - 08:00 AM (Night Monitoring Focus)
ZONE_154,KIADB Road / Peenya Zone,Peenya,No Junction,"KIADB Road, Krishna Gowda Layout, T Dasarahalli, Bengaluru, Karnataka. Pin-560057 (India)",1.19,81.7,High,Deploy 2 Officers + Active Patrol Monitoring,2,11:00 AM - 05:00 PM (Midday Traffic Focus)
ZONE_108,Bannerghatta Main Road / J.P. Nagar Zone,J.P. Nagar,No Junction,"Bannerghatta Main Road, Indian Institute of Management, Bengaluru, Karnataka. Pin-560076 (India)",1.18,81.4,High,Deploy 2 Officers + Active Patrol Monitoring,2,08:00 AM - 11:00 AM (Morning Peak Focus)
ZONE_122,Kondajji Basappa Road / Shivasankara Circle Zone,V.V.Puram (C.Pet),BTP105 - Shivasankara Circle,"Kondajji Basappa Road, Parvatipuram, VV Puram, Bengaluru, Karnataka. Pin-560004 (India)",1.17,81.3,High,Deploy 2 Officers + Active Patrol Monitoring,2,08:00 PM - 08:00 AM (Night Monitoring Focus)
ZONE_068,Mysore Road / Byatarayanapura Zone,Byatarayanapura,No Junction,"Sri Sri Sri Tiruchi Mahaswamiji Road, Gopalan Arcade, Nayandahalli, Bengaluru, Karnataka. Pin-560039 (India)",1.16,81.0,High,Deploy 2 Officers + Active Patrol Monitoring,2,11:00 AM - 05:00 PM (Midday Traffic Focus)
ZONE_131,Nallurahalli Road / Whitefield Zone,Whitefield,No Junction,"Nallurahalli Road, SV Mayfair, Whitefield, Bengaluru, Karnataka. Pin-560066 (India)",1.16,81.0,High,Deploy 2 Officers + Active Patrol Monitoring,2,11:00 AM - 05:00 PM (Midday Traffic Focus)
ZONE_097,MBT Road / K.R. Pura Zone,K.R. Pura,No Junction,"1st Cross Road, Subhams Antique City, Konadasapura, Bengaluru, Karnataka. Pin-560049 (India)",1.15,80.7,High,Deploy 2 Officers + Active Patrol Monitoring,2,11:00 AM - 05:00 PM (Midday Traffic Focus)
ZONE_065,Hosur Road / Electronic City Zone,Electronic City,No Junction,"Hosur Road, Salarpuria Sattva Alexandria Tech Park, Veerasandra Industrial Area, Bengaluru, Karnataka. Pin-560100 (India)",1.13,80.5,High,Deploy 2 Officers + Active Patrol Monitoring,2,11:00 AM - 05:00 PM (Midday Traffic Focus)
ZONE_153,Thanisandra Main Road / Hennuru Zone,Hennuru,No Junction,"Thanisandra Main Road, Ex Serviceman Layout, Hegde Nagar, Bengaluru, Karnataka. Pin-560077 (India)",1.12,80.3,High,Deploy 2 Officers + Active Patrol Monitoring,2,11:00 AM - 05:00 PM (Midday Traffic Focus)
ZONE_216,Sri Ramana Maharshi Road / Mekhri Circle Zone,Sadashivanagar,BTP030 - Mekhri Circle,"10th Main Road, Achaiah Chetty Layout, RMV Extension, Sadashiva Nagar, Bengaluru, Karnataka. Pin-560080 (India)",1.09,79.7,High,Deploy 2 Officers + Active Patrol Monitoring,2,08:00 PM - 08:00 AM (Night Monitoring Focus)
ZONE_096,"East End A Main Road / East End Main Road, Jayanagar Zone",Jayanagara,"BTP202 - East End Main Road, Jayanagar","East End A Main Road, Dr BR Ambedkar Circle, Jayanagar, Bengaluru, Karnataka. Pin-560069 (India)",1.09,79.7,High,Deploy 2 Officers + Active Patrol Monitoring,2,08:00 PM - 08:00 AM (Night Monitoring Focus)
ZONE_094,Hosur Road / Electronic City Zone,Electronic City,No Junction,"Hosur Road, Janatha Colony, Bommasandra, Bengaluru, Karnataka. Pin-560099 (India)",1.09,79.7,High,Deploy 2 Officers + Active Patrol Monitoring,2,08:00 PM - 08:00 AM (Night Monitoring Focus)
ZONE_160,Muthsandra Main Road / Whitefield Zone,Whitefield,No Junction,"Muthsandra Main Road, KSRTC Travel House Junction, Varthur Marattahalli, Bengaluru, Karnataka. Pin-560087 (India)",1.09,79.7,High,Deploy 2 Officers + Active Patrol Monitoring,2,08:00 PM - 08:00 AM (Night Monitoring Focus)
ZONE_158,MBT Road / K.R. Pura Zone,K.R. Pura,No Junction,"MBT Road, Brigade Golden Triangle, Sannatammanahalli, Bengaluru, Karnataka. Pin-560049 (India)",1.09,79.7,High,Deploy 2 Officers + Active Patrol Monitoring,2,11:00 AM - 05:00 PM (Midday Traffic Focus)
ZONE_138,Old Airport Road / Jeevanbheemanagar Zone,Jeevanbheemanagar,No Junction,"Old Airport Road, Thimma Reddy Layout, Murugeshpalya, Bengaluru, Karnataka. Pin-560017 (India)",1.09,79.7,High,Deploy 2 Officers + Active Patrol Monitoring,2,08:00 AM - 11:00 AM (Morning Peak Focus)
ZONE_156,Ali Asker Road / Coffee Board Zone,Cubbon Park,BTP166 - Coffee Board Junction,"Ali Asker Road, Embassy Apartment, Vasant Nagar, Bengaluru, Karnataka. Pin-560001 (India)",1.08,79.0,High,Deploy 2 Officers + Active Patrol Monitoring,2,08:00 AM - 11:00 AM (Morning Peak Focus)
ZONE_209,Mumbai Bengaluru Highway / No Police Station Zone,No Police Station,No Junction,"Mumbai Bengaluru Highway, Chikkabidarakallu, Bengaluru, Karnataka. Pin-560073 (India)",1.07,78.8,High,Deploy 2 Officers + Active Patrol Monitoring,2,11:00 AM - 05:00 PM (Midday Traffic Focus)
ZONE_230,50 Feet Main Road / Basavanagudi Zone,Basavanagudi,No Junction,"50 Feet Main Road, Hanumantha Nagar, Bengaluru, Karnataka. Pin-560004 (India)",1.07,78.8,High,Deploy 2 Officers + Active Patrol Monitoring,2,11:00 AM - 05:00 PM (Midday Traffic Focus)
ZONE_104,Banaswadi Main Road / Pulikeshinagar(F.Town) Zone,Pulikeshinagar(F.Town),No Junction,"Banaswadi Main Road, Prestige Woodland Park, Maruthi Sevanagar, Bengaluru, Karnataka. Pin-560005 (India)",1.05,77.7,High,Deploy 2 Officers + Active Patrol Monitoring,2,08:00 PM - 08:00 AM (Night Monitoring Focus)
ZONE_151,8th Main Road / Wilson Garden Zone,Wilson Garden,No Junction,"8th Main Road, NIMHANS, Bengaluru, Karnataka. Pin-560029 (India)",1.05,77.7,High,Deploy 2 Officers + Active Patrol Monitoring,2,08:00 AM - 11:00 AM (Morning Peak Focus)
ZONE_116,J Lingaiah Road / Sheshadripuram Zone,Sheshadripuram,No Junction,"J Lingaiah Road, Kempanna Block, Seshadripuram, Bengaluru, Karnataka. Pin-560020 (India)",1.05,77.7,High,Deploy 2 Officers + Active Patrol Monitoring,2,08:00 AM - 11:00 AM (Morning Peak Focus)
ZONE_143,Whitefield Main Road / Whitefield Zone,Whitefield,No Junction,"Whitefield Main Road, HBK Layout, Whitefield, Bengaluru, Karnataka. Pin-560066 (India)",1.05,77.7,High,Deploy 2 Officers + Active Patrol Monitoring,2,08:00 AM - 11:00 AM (Morning Peak Focus)
ZONE_162,"Dr Rajkumar Puniya Bhoomi Road / JP Nagar Metro, ORR Zone",J.P. Nagar,"BTP159 - JP Nagar Metro, ORR","Dr Rajkumar Puniya Bhoomi Road, Jaraganahalli Circle, Ilyas Nagar, Bengaluru, Karnataka. Pin-560078 (India)",1.05,77.7,High,Deploy 2 Officers + Active Patrol Monitoring,2,08:00 PM - 08:00 AM (Night Monitoring Focus)
ZONE_172,1st Cross Road / Jeevanbheemanagar Zone,Jeevanbheemanagar,No Junction,"1st Cross Road, Jeevan Bima Nagar, Bengaluru, Karnataka. Pin-560075 (India)",1.05,77.7,High,Deploy 2 Officers + Active Patrol Monitoring,2,08:00 AM - 11:00 AM (Morning Peak Focus)
ZONE_141,Anepalya Main Road / Anepalya Zone,Ashok Nagar,BTP132 - Anepalya Junction,"Anepalya Main Road, Muthanna Garden, Nilsandra, Bengaluru, Karnataka. Pin-560030 (India)",1.05,77.7,High,Deploy 2 Officers + Active Patrol Monitoring,2,11:00 AM - 05:00 PM (Midday Traffic Focus)
ZONE_133,Mumbai Bengaluru Highway / Chikkabanavara Zone,Chikkabanavara,No Junction,"Mumbai Bengaluru Highway, Nagasandra, Bengaluru, Karnataka. Pin-560073 (India)",1.05,77.7,High,Deploy 2 Officers + Active Patrol Monitoring,2,11:00 AM - 05:00 PM (Midday Traffic Focus)
ZONE_099,Jayamahal Main Road / R.T. Nagar Zone,R.T. Nagar,No Junction,"Jayamahal Main Road, Munireddypalya, JC Nagar, Bengaluru, Karnataka. Pin-560006 (India)",1.05,77.7,High,Deploy 2 Officers + Active Patrol Monitoring,2,08:00 PM - 08:00 AM (Night Monitoring Focus)
ZONE_107,Rajatha Bhavana Road / Jalahalli Zone,Jalahalli,No Junction,"Rajatha Bhavana Road, Dr K Shivaramakarantha Circle, Jalahalli, Bengaluru, Karnataka. Pin-560013 (India)",1.04,76.6,High,Deploy 2 Officers + Active Patrol Monitoring,2,08:00 PM - 08:00 AM (Night Monitoring Focus)
ZONE_170,19th Main Road / HSR Layout Zone,HSR Layout,No Junction,"19th Main Road, Park Square Apartment, Sector 4, HSR Layout, Bengaluru, Karnataka. Pin-560102 (India)",1.04,76.6,High,Deploy 2 Officers + Active Patrol Monitoring,2,11:00 AM - 05:00 PM (Midday Traffic Focus)
ZONE_084,Bellahali Main Road / Chikkajala Zone,Chikkajala,No Junction,"Bellahali Main Road, Niranthara Layout, Dwarka Nagar, Kattigenahalli, Bengaluru, Karnataka. Pin-560063 (India)",1.04,76.6,High,Deploy 2 Officers + Active Patrol Monitoring,2,08:00 PM - 08:00 AM (Night Monitoring Focus)
ZONE_215,Thanisandra Main Road / Hennuru Zone,Hennuru,No Junction,"Thanisandra Main Road, Aswath Nagar Circle, Thanisandra, Bengaluru, Karnataka. Pin-560077 (India)",1.02,76.3,High,Deploy 2 Officers + Active Patrol Monitoring,2,11:00 AM - 05:00 PM (Midday Traffic Focus)
ZONE_056,5th Cross Road / K.G. Halli Zone,K.G. Halli,No Junction,"5th Cross Road, Rajath Greens, Block 5 Stage 1, HBR Layout, Bengaluru, Karnataka. Pin-560043 (India)",1.01,72.4,High,Deploy 2 Officers + Active Patrol Monitoring,2,08:00 PM - 08:00 AM (Night Monitoring Focus)
ZONE_093,8th Main Road / Banashankari Zone,Banashankari,No Junction,"8th Main Road, Veerannana Guda, Veerabhadra Nagar, Banashankari Stage 3, Bengaluru, Karnataka. Pin-560085 (India)",1.01,72.4,High,Deploy 2 Officers + Active Patrol Monitoring,2,08:00 PM - 08:00 AM (Night Monitoring Focus)
ZONE_080,Hosur Road / Hulimavu Zone,Hulimavu,No Junction,"Hosur Road, Singasandra Industrial Estate, Begur, Bengaluru, Karnataka. Pin-560068 (India)",1.01,72.4,High,Deploy 2 Officers + Active Patrol Monitoring,2,08:00 PM - 08:00 AM (Night Monitoring Focus)
ZONE_072,Allalasandra Main Road / Yelahanka Zone,Yelahanka,No Junction,"Allalasandra Main Road, Taralabalu Enclave, Yelahanka, Bengaluru, Karnataka. Pin-560064 (India)",1.01,72.4,High,Deploy 2 Officers + Active Patrol Monitoring,2,11:00 AM - 05:00 PM (Midday Traffic Focus)
ZONE_095,Dr Rajkumar Puniya Bhoomi Road / Kamakshipalya Zone,Kamakshipalya,No Junction,"Dr Rajkumar Puniya Bhoomi Road, Sumnahalli Junction, Kamakshipalya, Bengaluru, Karnataka. Pin-560091 (India)",1.01,72.4,High,Deploy 2 Officers + Active Patrol Monitoring,2,11:00 AM - 05:00 PM (Midday Traffic Focus)
ZONE_091,Chikka Banavara RS Road / Jalahalli Zone,Jalahalli,No Junction,"Chikka Banavara RS Road, Prasad Enclave, Jalahalli, Bengaluru, Karnataka. Pin-560015 (India)",1.01,72.4,High,Deploy 2 Officers + Active Patrol Monitoring,2,11:00 AM - 05:00 PM (Midday Traffic Focus)
ZONE_105,Siri Vasavi Temple Road / Vasavi Circle Zone,V.V.Puram (C.Pet),BTP193 - Vasavi Circle,"Sajjan Rao Circle, Sajjan Rao Circle, VV Puram, Bengaluru, Karnataka. Pin-560004 (India)",1.01,72.4,High,Deploy 2 Officers + Active Patrol Monitoring,2,11:00 AM - 05:00 PM (Midday Traffic Focus)
ZONE_090,27th Main Road / HSR Layout Zone,HSR Layout,No Junction,"27th Main Road, Sector 1, HSR Layout, Bengaluru, Karnataka. Pin-560102 (India)",1.01,72.4,High,Deploy 2 Officers + Active Patrol Monitoring,2,11:00 AM - 05:00 PM (Midday Traffic Focus)
ZONE_089,Hosur Road / Hosur-Tavarkere Road Zone,Mico Layout,BTP136 - Hosur-Tavarkere Road Junction,"Hosur Road, Prestige Blue Chip Software Park, Dairy Colony, Adugodi, Bengaluru, Karnataka. Pin-560029 (India)",1.01,72.4,High,Deploy 2 Officers + Active Patrol Monitoring,2,08:00 PM - 08:00 AM (Night Monitoring Focus)
ZONE_120,Bannerghatta Main Road / J.P. Nagar Zone,J.P. Nagar,No Junction,"Bannerghatta Main Road, Vijay Shree Layout, Hulimavu, Bengaluru, Karnataka. Pin-560076 (India)",1.01,72.4,High,Deploy 2 Officers + Active Patrol Monitoring,2,11:00 AM - 05:00 PM (Midday Traffic Focus)
ZONE_121,Railway Line Road / Banaswadi Zone,Banaswadi,No Junction,"Railway Line Road, NGEF Layout, Benaiganahalli, Bengaluru, Karnataka. Pin-560038 (India)",1.01,72.4,High,Deploy 2 Officers + Active Patrol Monitoring,2,08:00 AM - 11:00 AM (Morning Peak Focus)
ZONE_125,Outer Ring Road / HAL Old Airport Zone,HAL Old Airport,No Junction,"Outer Ring Road, Karthik Nagar, Marathahalli, Bengaluru, Karnataka. Pin-560037 (India)",1.01,72.4,High,Deploy 2 Officers + Active Patrol Monitoring,2,08:00 AM - 11:00 AM (Morning Peak Focus)
ZONE_124,Chikkabellanduru Road / Bellandur Zone,Bellandur,No Junction,"Chikkabellanduru Road, Ram Circle, Hadosiddapura, Bengaluru, Karnataka. Pin-560035 (India)",1.01,72.4,High,Deploy 2 Officers + Active Patrol Monitoring,2,11:00 AM - 05:00 PM (Midday Traffic Focus)
ZONE_126,Hosur Road / Hulimavu Zone,Hulimavu,No Junction,"Hosur Road, Zed Enclave, HAL Layout, Bengaluru, Karnataka. Pin-560068 (India)",1.01,72.4,High,Deploy 2 Officers + Active Patrol Monitoring,2,08:00 PM - 08:00 AM (Night Monitoring Focus)
ZONE_127,Subramanyapura Main Road / K.S. Layout Zone,K.S. Layout,No Junction,"Subramanyapura Main Road, VVR Supreme Residency, Chikkalsandra, Bengaluru, Karnataka. Pin-560061 (India)",1.01,72.4,High,Deploy 2 Officers + Active Patrol Monitoring,2,11:00 AM - 05:00 PM (Midday Traffic Focus)
ZONE_100,Professor K Venkatachalam Circle / Pulikeshinagar(F.Town) Zone,Pulikeshinagar(F.Town),No Junction,"Professor K Venkatachalam Circle, Venkatachalam Circle, Sivanchetti Gardens, Bengaluru, Karnataka. Pin-560042 (India)",1.01,72.4,High,Deploy 2 Officers + Active Patrol Monitoring,2,11:00 AM - 05:00 PM (Midday Traffic Focus)
ZONE_128,"24th Main Road / 15th Cross, 24th Main, JP Nagar Zone",J.P. Nagar,"BTP221 - 15th Cross, 24th Main, JP Nagar","24th Main Road, Sri SN Venkatesh Reddy Circle, JP Nagar Phase 6, Bengaluru, Karnataka. Pin-560078 (India)",1.01,72.4,High,Deploy 2 Officers + Active Patrol Monitoring,2,11:00 AM - 05:00 PM (Midday Traffic Focus)
ZONE_103,Sarjapura Main Road / Bellandur Zone,Bellandur,No Junction,"Sarjapura Main Road, Doddakannelli Circle, Doddakannelli, Bengaluru, Karnataka. Pin-560035 (India)",1.01,72.4,High,Deploy 2 Officers + Active Patrol Monitoring,2,08:00 AM - 11:00 AM (Morning Peak Focus)
ZONE_110,Dr Rajkumar Puniya Bhoomi Road / Nayandahalli Zone,Byatarayanapura,BTP098 - Nayandahalli Junction,"Dr Rajkumar Puniya Bhoomi Road, BDA Layout, Block 3, Chandra Layout Stage 1, Bengaluru, Karnataka. Pin-560072 (India)",1.01,72.4,High,Deploy 2 Officers + Active Patrol Monitoring,2,08:00 PM - 08:00 AM (Night Monitoring Focus)
ZONE_106,"46th Cross Road / Rajalakshmi Kalyana Mantapa, JP Nagar Zone",Jayanagara,"BTP176 - Rajalakshmi Kalyana Mantapa, JP Nagar","46th Cross Road, Sangam Circle, Jayanagar, Bengaluru, Karnataka. Pin-560070 (India)",1.01,72.4,High,Deploy 2 Officers + Active Patrol Monitoring,2,08:00 PM - 08:00 AM (Night Monitoring Focus)
ZONE_086,CMR Road / Banaswadi Zone,Banaswadi,No Junction,"CMR Road, Jahnavi Layout, Kalyan Nagar, Bengaluru, Karnataka. Pin-560043 (India)",1.01,72.4,High,Deploy 2 Officers + Active Patrol Monitoring,2,11:00 AM - 05:00 PM (Midday Traffic Focus)
ZONE_081,MS Ramaiah Road / Yeshwanthpura Zone,Yeshwanthpura,No Junction,"MS Ramaiah Road, Mattikere Layout, Mathikere Extension, Bengaluru, Karnataka. Pin-560054 (India)",1.01,72.4,High,Deploy 2 Officers + Active Patrol Monitoring,2,08:00 PM - 08:00 AM (Night Monitoring Focus)
ZONE_140,Kanteerava Studio Road / Rajajinagar Zone,Rajajinagar,No Junction,"Kanteerava Studio Road, Parimala Nagar, Nandini Layout, Bengaluru, Karnataka. Pin-560096 (India)",1.01,72.4,High,Deploy 2 Officers + Active Patrol Monitoring,2,08:00 PM - 08:00 AM (Night Monitoring Focus)
ZONE_117,Sarjapura Main Road / Whitefield Zone,Whitefield,No Junction,"Sarjapura Main Road, Kodathi Gate, Kodathi, Bengaluru, Karnataka. Pin-560035 (India)",1.01,72.4,High,Deploy 2 Officers + Active Patrol Monitoring,2,08:00 AM - 11:00 AM (Morning Peak Focus)
ZONE_142,Hesaraghatta Main Road / Chikkabanavara Zone,Chikkabanavara,No Junction,"Hesaraghatta Main Road, Defence Colony, Bagalagunte, Bengaluru, Karnataka. Pin-560073 (India)",1.01,72.4,High,Deploy 2 Officers + Active Patrol Monitoring,2,11:00 AM - 05:00 PM (Midday Traffic Focus)
ZONE_150,Dr APJ Abdul Kalam Marg / Banaswadi Zone,Banaswadi,No Junction,"Dr APJ Abdul Kalam Marg, Sir CV Raman Circle, CV Raman Nagar, Bengaluru, Karnataka. Pin-560093 (India)",1.01,72.4,High,Deploy 2 Officers + Active Patrol Monitoring,2,08:00 AM - 11:00 AM (Morning Peak Focus)
ZONE_152,Mims Gulmohar Road / Whitefield Zone,Whitefield,No Junction,"Mims Gulmohar Road, Gulmohar, Whitefield, Bengaluru, Karnataka. Pin-560066 (India)",1.01,72.4,High,Deploy 2 Officers + Active Patrol Monitoring,2,11:00 AM - 05:00 PM (Midday Traffic Focus)
ZONE_132,Dr Rajgopal Road / Kodigehalli Zone,Kodigehalli,No Junction,"Dr Rajgopal Road, Infantry Towers, Naidu Layout, Sanjay Nagar, Bengaluru, Karnataka. Pin-560094 (India)",1.01,72.4,High,Deploy 2 Officers + Active Patrol Monitoring,2,11:00 AM - 05:00 PM (Midday Traffic Focus)
ZONE_129,1st Main Road / R.T. Nagar Zone,R.T. Nagar,No Junction,"2nd Main Road, Income Tax and Central Excise Staff Quarters, Jayamahal Extension, Bengaluru, Karnataka. Pin-560046 (India)",1.01,72.4,High,Deploy 2 Officers + Active Patrol Monitoring,2,08:00 PM - 08:00 AM (Night Monitoring Focus)
ZONE_135,27th Main Road / HSR Layout Zone,HSR Layout,No Junction,"27th Main Road, HSR Layout 27th Main Junction, HSR Layout, Bengaluru, Karnataka. Pin-560102 (India)",1.01,72.4,High,Deploy 2 Officers + Active Patrol Monitoring,2,11:00 AM - 05:00 PM (Midday Traffic Focus)
ZONE_139,Kengeri Main Road / Jnanabharathi Zone,Jnanabharathi,No Junction,"Kengeri Main Road, Papareddypalya Circle, Nagarbhavi Stage 2, Bengaluru, Karnataka. Pin-560072 (India)",1.01,72.4,High,Deploy 2 Officers + Active Patrol Monitoring,2,11:00 AM - 05:00 PM (Midday Traffic Focus)
ZONE_137,Bazar Street / 5th Main Chamrajpet Zone,Chamarajpet,BTP214 - 5th Main Chamrajpet Junction,"4th Main Road, Chamrajpet 5th Main Junction, Chamarajpet, Bengaluru, Karnataka. Pin-560018 (India)",1.01,72.4,High,Deploy 2 Officers + Active Patrol Monitoring,2,11:00 AM - 05:00 PM (Midday Traffic Focus)
ZONE_136,Subramanyapura Main Road / K.S. Layout Zone,K.S. Layout,No Junction,"Subramanyapura Main Road, Vallabha Nagar, Uttarahalli, Bengaluru, Karnataka. Pin-560061 (India)",1.01,72.4,High,Deploy 2 Officers + Active Patrol Monitoring,2,11:00 AM - 05:00 PM (Midday Traffic Focus)
ZONE_114,3rd A Cross Road / Yelahanka Zone,Yelahanka,No Junction,"3rd A Cross Road, East Colony, Yelahanka, Bengaluru, Karnataka. Pin-560064 (India)",1.01,72.4,High,Deploy 2 Officers + Active Patrol Monitoring,2,11:00 AM - 05:00 PM (Midday Traffic Focus)
ZONE_118,Srinivagilu Main Road / Adugodi Zone,Adugodi,No Junction,"Srinivagilu Main Road, Sony World Junction, Koramangala, Bengaluru, Karnataka. Pin-560034 (India)",1.01,72.4,High,Deploy 2 Officers + Active Patrol Monitoring,2,11:00 AM - 05:00 PM (Midday Traffic Focus)
ZONE_164,G Narayana Kumar Road / Kamakshipalya Zone,Kamakshipalya,No Junction,"G Narayana Kumar Road, Soundarya Kamakshi, Karekallu, Kamakshipalya, Bengaluru, Karnataka. Pin-560079 (India)",1.01,72.4,High,Deploy 2 Officers + Active Patrol Monitoring,2,11:00 AM - 05:00 PM (Midday Traffic Focus)
ZONE_169,HAL Airport Road / Whitefield Zone,Whitefield,No Junction,"HAL Airport Road, Miraya Rose, Siddapura, Bengaluru, Karnataka. Pin-560066 (India)",1.01,72.4,High,Deploy 2 Officers + Active Patrol Monitoring,2,08:00 AM - 11:00 AM (Morning Peak Focus)
ZONE_149,Kodigehalli Main Road / Kodigehalli Zone,Kodigehalli,No Junction,"Kodigehalli Main Road, Kodigehalli Circle, Sahakara Nagar, Bengaluru, Karnataka. Pin-560092 (India)",1.01,72.4,High,Deploy 2 Officers + Active Patrol Monitoring,2,11:00 AM - 05:00 PM (Midday Traffic Focus)
